weight;zone1;zone2;zone3;zone4;zone5
"2";"37";"41";"45";"49";"53"
"5";"45";"53";"58";"65";"77"
"10";"49";"64";"77";"92";"113"
"15";"54";"74";"101";"123";"154"
"20";"59";"85";"113";"154";"185"
"25";"64";"95";"138";"180";"216"
"30";"69";"105";"164";"204";"252"
